'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:08.758',-0.056,-0.206,-0.150,0.131,0.047,-0.178,-0.116,-0.303,-0.225,-0.181,-0.181,-0.134
'0:08.759',-0.050,-0.200,-0.150,0.125,0.050,-0.175,-0.106,-0.281,-0.213,-0.181,-0.175,-0.125
'0:08.760',-0.049,-0.189,-0.141,0.119,0.046,-0.165,-0.091,-0.250,-0.191,-0.172,-0.166,-0.119
'0:08.761',-0.044,-0.178,-0.134,0.111,0.045,-0.156,-0.075,-0.225,-0.181,-0.156,-0.156,-0.113
'0:08.762',-0.042,-0.170,-0.127,0.106,0.043,-0.149,-0.072,-0.213,-0.169,-0.153,-0.153,-0.109
'0:08.763',-0.041,-0.169,-0.128,0.105,0.044,-0.149,-0.063,-0.200,-0.163,-0.150,-0.150,-0.106
'0:08.764',-0.041,-0.168,-0.127,0.104,0.043,-0.148,-0.053,-0.188,-0.163,-0.150,-0.147,-0.109
'0:08.765',-0.044,-0.163,-0.119,0.103,0.038,-0.141,-0.044,-0.175,-0.156,-0.150,-0.150,-0.106
'0:08.766',-0.039,-0.161,-0.122,0.101,0.041,-0.142,-0.034,-0.166,-0.153,-0.153,-0.144,-0.106
'0:08.767',-0.037,-0.153,-0.116,0.096,0.039,-0.134,-0.025,-0.163,-0.156,-0.156,-0.144,-0.106
'0:08.768',-0.036,-0.146,-0.110,0.091,0.037,-0.128,-0.022,-0.156,-0.156,-0.150,-0.147,-0.097
'0:08.769',-0.041,-0.144,-0.103,0.092,0.031,-0.124,-0.013,-0.156,-0.150,-0.150,-0.150,-0.100
'0:08.770',-0.045,-0.141,-0.096,0.093,0.025,-0.118,-0.013,-0.144,-0.144,-0.144,-0.137,-0.091
'0:08.771',-0.053,-0.138,-0.084,0.096,0.016,-0.111,0.000,-0.138,-0.138,-0.137,-0.131,-0.088
'0:08.772',-0.056,-0.138,-0.081,0.097,0.013,-0.109,0.006,-0.131,-0.138,-0.134,-0.128,-0.088
'0:08.773',-0.062,-0.134,-0.072,0.099,0.004,-0.103,0.006,-0.131,-0.131,-0.131,-0.131,-0.088
'0:08.774',-0.059,-0.131,-0.072,0.096,0.006,-0.102,0.012,-0.131,-0.138,-0.141,-0.131,-0.094
'0:08.775',-0.056,-0.125,-0.069,0.091,0.006,-0.097,0.012,-0.125,-0.138,-0.144,-0.131,-0.094
'0:08.776',-0.055,-0.127,-0.072,0.091,0.008,-0.099,0.019,-0.125,-0.134,-0.144,-0.128,-0.091
'0:08.777',-0.050,-0.125,-0.075,0.088,0.013,-0.100,0.019,-0.119,-0.131,-0.144,-0.125,-0.088
'0:08.778',-0.050,-0.129,-0.079,0.090,0.014,-0.104,0.019,-0.119,-0.131,-0.147,-0.131,-0.088
'0:08.779',-0.050,-0.125,-0.075,0.088,0.013,-0.100,0.025,-0.113,-0.131,-0.150,-0.131,-0.088
'0:08.780',-0.050,-0.131,-0.081,0.091,0.016,-0.106,0.028,-0.106,-0.134,-0.147,-0.122,-0.088
'0:08.781',-0.050,-0.131,-0.081,0.091,0.016,-0.106,0.031,-0.106,-0.138,-0.144,-0.125,-0.088
'0:08.782',-0.056,-0.134,-0.078,0.096,0.011,-0.106,0.034,-0.103,-0.134,-0.141,-0.125,-0.088
'0:08.783',-0.059,-0.138,-0.078,0.099,0.009,-0.108,0.037,-0.100,-0.131,-0.144,-0.125,-0.088
'0:08.784',-0.055,-0.134,-0.079,0.095,0.012,-0.107,0.037,-0.100,-0.131,-0.134,-0.128,-0.084
'0:08.785',-0.053,-0.131,-0.078,0.092,0.013,-0.105,0.037,-0.100,-0.138,-0.137,-0.131,-0.081
'0:08.786',-0.053,-0.133,-0.079,0.093,0.013,-0.106,0.037,-0.097,-0.131,-0.137,-0.125,-0.084
'0:08.787',-0.053,-0.134,-0.081,0.094,0.014,-0.108,0.037,-0.094,-0.131,-0.144,-0.131,-0.088
'0:08.788',-0.052,-0.133,-0.081,0.092,0.014,-0.108,0.034,-0.091,-0.134,-0.141,-0.128,-0.088
'0:08.789',-0.050,-0.128,-0.078,0.089,0.014,-0.103,0.031,-0.094,-0.138,-0.137,-0.131,-0.088
'0:08.790',-0.050,-0.129,-0.079,0.090,0.014,-0.104,0.031,-0.094,-0.134,-0.137,-0.128,-0.088
'0:08.791',-0.050,-0.128,-0.078,0.089,0.014,-0.103,0.031,-0.094,-0.131,-0.137,-0.125,-0.088
'0:08.792',-0.050,-0.129,-0.079,0.090,0.014,-0.104,0.031,-0.094,-0.131,-0.137,-0.128,-0.088
'0:08.793',-0.044,-0.128,-0.084,0.086,0.020,-0.106,0.031,-0.094,-0.131,-0.137,-0.125,-0.088
'0:08.794',-0.039,-0.124,-0.084,0.082,0.023,-0.104,0.034,-0.088,-0.125,-0.137,-0.122,-0.091
'0:08.795',-0.037,-0.119,-0.081,0.078,0.022,-0.100,0.031,-0.088,-0.131,-0.137,-0.125,-0.094
'0:08.796',-0.044,-0.122,-0.078,0.083,0.017,-0.100,0.034,-0.081,-0.134,-0.141,-0.125,-0.094
'0:08.797',-0.044,-0.125,-0.081,0.084,0.019,-0.103,0.037,-0.081,-0.131,-0.144,-0.131,-0.094
'0:08.798',-0.045,-0.125,-0.080,0.085,0.018,-0.103,0.037,-0.081,-0.131,-0.144,-0.131,-0.094
'0:08.799',-0.050,-0.125,-0.075,0.088,0.013,-0.100,0.037,-0.081,-0.131,-0.144,-0.125,-0.094
'0:08.800',-0.051,-0.126,-0.075,0.089,0.012,-0.101,0.034,-0.072,-0.128,-0.144,-0.125,-0.094
'0:08.801',-0.050,-0.125,-0.075,0.088,0.013,-0.100,0.031,-0.069,-0.125,-0.144,-0.125,-0.088
'0:08.802',-0.052,-0.122,-0.070,0.087,0.009,-0.096,0.034,-0.066,-0.119,-0.137,-0.125,-0.088
'0:08.803',-0.050,-0.119,-0.069,0.084,0.009,-0.094,0.044,-0.063,-0.119,-0.137,-0.125,-0.088
'0:08.804',-0.052,-0.120,-0.068,0.086,0.008,-0.094,0.044,-0.063,-0.119,-0.141,-0.119,-0.084
